Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Years,Item_Type_Combined,Item_Visibility_MeanRatio,Outlet
FDP49,9.0,2,0.069196376,54.3614,OUT049,1,0,1,718.3982,14,Food,0.9267038031378307,9
DRI11,8.26,0,0.034237682,113.2834,OUT027,1,2,3,2303.668,28,Drinks,0.8704928693111866,5
FDU02,13.35,0,0.10249212,230.5352,OUT035,2,1,1,2748.4224,9,Food,0.922115518306462,6
FDN22,18.85,2,0.138190277,250.8724,OUT013,0,2,1,3775.086,26,Food,1.0132484392100192,1
FDW12,8.315,2,0.035399923,144.5444,OUT027,1,2,3,4064.0432,28,Food,0.867553707380034,5
NCB30,14.6,Non-Edible,0.025698134,196.5084,OUT035,2,1,1,1587.2672,9,Non-Consumable,0.8628943947372767,6
FDC37,15.5,0,0.057556998,107.6938,OUT019,2,0,0,214.3876,28,Food,1.5315371875133976,4
FDR28,13.85,2,0.025896485,165.021,OUT046,2,0,1,4078.025,16,Food,0.9296326154440038,8
NCD06,13.0,Non-Edible,0.099887103,45.906,OUT017,2,1,1,838.908,6,Non-Consumable,0.9275067672165533,2
FDV10,7.645,2,0.066693437,42.3112,OUT035,2,1,1,1065.28,9,Food,0.8835292524522668,6
DRJ59,11.65,0,0.019356132,39.1164,OUT013,0,2,1,308.9312,26,Drinks,0.9317498202269069,1
FDE51,5.925,2,0.161466534,45.5086,OUT010,2,2,0,178.4344,15,Food,1.4445814400022103,0
FDC14,14.5,2,0.072221801,43.6454,OUT019,2,0,0,125.8362,28,Food,1.5263660738938305,4
FDV38,19.25,0,0.170348551,55.7956,OUT010,2,2,0,163.7868,15,Food,1.4641166675359907,0
NCS17,18.6,Non-Edible,0.080829372,96.4436,OUT018,1,2,2,2741.7644,4,Non-Consumable,1.0031395405819457,3
FDP33,18.7,0,0.0930934742,256.6672,OUT018,1,2,2,3068.0064,4,Food,0.9090909090909091,3
FDO23,17.85,0,0.1424622906666666,93.1436,OUT045,2,1,1,2174.5028,11,Food,0.8999999999999995,7
DRH01,17.5,0,0.097904029,174.8738,OUT046,2,0,1,2085.2856,16,Drinks,0.9222899199987085,8
NCX29,10.0,Non-Edible,0.089291137,146.7102,OUT049,1,0,1,3791.0652,14,Non-Consumable,0.8760887635003262,9
FDV20,20.2,2,0.059511812,128.0678,OUT027,1,2,3,2797.6916,28,Food,0.8676854210699223,5
DRZ11,8.85,2,0.113123893,122.5388,OUT018,1,2,2,1609.9044,4,Drinks,1.0031395349101433,3
FDX10,6.385,2,0.123111453,36.9874,OUT027,1,2,3,388.1614,28,Food,0.9205197684191376,5
FDB34,15.25,0,0.026480954,87.6198,OUT027,1,2,3,2180.495,28,Food,0.9251308290764402,5
FDU02,13.35,0,0.102511504,230.6352,OUT046,2,0,1,3435.528,16,Food,0.9222899150035627,8
FDK43,9.8,0,0.02681843,126.002,OUT013,0,2,1,2150.534,26,Food,0.9215224160526706,1
FDA46,13.6,0,0.117818348,192.9136,OUT049,1,0,1,2527.3768,14,Food,0.9310779364692868,9
FDC02,21.35,0,0.069102831,259.9278,OUT018,1,2,2,6768.5228,4,Food,0.9334195377024119,3
FDL50,12.15,2,0.042277867,126.5046,OUT013,0,2,1,373.5138,26,Food,0.9980787902561442,1
FDM39,6.42,0,0.089498926,178.1002,OUT010,2,2,0,358.2004,15,Food,1.4641166676603148,0
NCP05,19.6,Non-Edible,0.0187569537777777,153.3024,OUT045,2,1,1,2428.8384,11,Non-Consumable,0.7499999999999977,7
FDV49,10.0,0,0.025879577,265.2226,OUT045,2,1,1,5815.0972,11,Food,0.9241603460120508,7
FDL12,15.85,2,0.121632721,60.622,OUT046,2,0,1,2576.646,16,Food,0.8747287915078714,8
FDS02,10.195000000000002,2,0.255394896,196.8794,OUT019,2,0,0,780.3176,28,Food,1.6616354111924645,4
NCL17,7.39,Non-Edible,0.067779712,143.8812,OUT046,2,0,1,3134.5864,16,Non-Consumable,0.8747287887220742,8
FDM40,10.195,0,0.159803853,141.5154,OUT013,0,2,1,850.8924,26,Food,0.9328773848835529,1
FDR13,9.895,2,0.028696932,117.0492,OUT013,0,2,1,810.9444,26,Food,0.8740008759338731,1
FDA43,10.895,0,0.065041581,196.3794,OUT017,2,1,1,3121.2704,6,Food,0.8796766099576357,2
NCP18,12.15,Non-Edible,0.028760013,151.4708,OUT017,2,1,1,4815.0656,6,Non-Consumable,0.9275067647960545,2
FDK21,7.905,0,0.010053105,249.0408,OUT018,1,2,2,6258.52,4,Food,0.9334195624341675,3
NCX54,9.195,Non-Edible,0.048157338,106.1622,OUT045,2,1,1,2117.244,11,Non-Consumable,0.9315179298292239,7
DRK35,8.365,0,0.071958197,38.0506,OUT049,1,0,1,796.9626,14,Drinks,0.8760887617519185,9
FDY21,15.1,0,0.173481304,194.511,OUT046,2,0,1,4910.275,16,Food,0.9513858526903725,8
FDI26,5.94,0,0.061082177,180.0344,OUT019,2,0,0,892.172,28,Food,1.6148105887521402,4
FDM20,10.0,0,0.0364918673,246.9144,OUT018,1,2,2,3185.1872,4,Food,0.8333333333333334,3
FDV27,7.97,2,0.040071131,87.3514,OUT045,2,1,1,1062.6168,11,Food,0.8503936434710149,7
FDF09,6.215,0,0.012090074,38.2848,OUT027,1,2,3,484.7024,28,Food,0.9251308536486635,5
FDY40,15.5,2,0.15028599,51.0692,OUT019,2,0,0,147.8076,28,Food,1.5474933749123494,4
FDY45,17.5,0,0.026015519,255.8356,OUT027,1,2,3,2543.356,28,Food,0.953882391823113,5
FDC46,17.7,0,0.195068226,185.4266,OUT010,2,2,0,184.4266,15,Food,1.5560143953260468,0
FDH19,19.35,0,0.033082215,172.5738,OUT035,2,1,1,4865.6664,9,Food,0.9221155127052101,6
FDZ03,13.65,2,0.078946455,186.024,OUT045,2,1,1,1118.544,11,Food,0.9281228332853192,7
DRH37,17.6,0,0.041700756,164.8526,OUT045,2,1,1,2302.3364,11,Drinks,0.8765027640696679,7
NCI17,8.645,Non-Edible,0.143422643,95.841,OUT046,2,0,1,2027.361,16,Non-Consumable,0.9249991148310271,8
FDJ58,15.6,2,0.105296072,170.1764,OUT046,2,0,1,3435.528,16,Food,0.8747287875118144,8
FDL12,15.85,2,0.121531501,59.222,OUT013,0,2,1,599.22,26,Food,0.8740008619873568,1
FDH35,18.25,0,0.0581012104444444,164.7526,OUT045,2,1,1,4604.6728,11,Food,0.8999999999999992,7
FDG02,7.855,0,0.011324862,189.6188,OUT017,2,1,1,2285.0256,6,Food,0.9275067286121008,2
NCZ18,7.825,Non-Edible,0.186357148,254.3698,OUT049,1,0,1,5580.7356,14,Non-Consumable,0.9268713929240054,9
FDC29,8.39,2,0.024205661,114.0176,OUT046,2,0,1,2290.352,16,Food,0.9990697616442725,8
FDQ10,12.85,0,0.033230816,172.3422,OUT049,1,0,1,1207.0954,14,Food,0.9237238339071363,9
FDN48,13.35,0,0.113720344,89.9804,OUT019,2,0,0,643.1628,28,Food,1.5315372016230426,4
FDL04,19.0,0,0.112556507,104.9622,OUT017,2,1,1,1587.933,6,Food,0.9275067671896535,2
FDV25,5.905,0,0.0444160403333333,222.5456,OUT045,2,1,1,5305.0944,11,Food,0.8999999999999995,7
FDD58,7.76,0,0.059352241,101.87,OUT046,2,0,1,1697.79,16,Food,0.8747287866525949,8
FDN04,11.8,2,0.014087057,180.3344,OUT046,2,0,1,1427.4752,16,Food,1.0147657505784495,8
FDV45,16.75,0,0.045230944,187.9556,OUT018,1,2,2,4693.89,4,Food,0.9260469457443702,3
NCL18,18.85,Non-Edible,0.293417759,194.6136,OUT019,2,0,0,583.2408,28,Non-Consumable,1.6148105893820424,4
FDR12,12.6,2,0.031382044,171.3764,OUT027,1,2,3,3091.9752,28,Food,0.8704928746102873,5
FDG20,15.5,2,0.12639886,177.0028,OUT017,2,1,1,2479.4392,6,Food,0.9348909885210056,2
FDZ55,6.055,0,0.025403898,160.992,OUT035,2,1,1,2716.464,9,Food,0.9988808402357966,6
FDQ49,20.2,2,0.039057677,155.963,OUT027,1,2,3,3285.723,28,Food,0.8673835674751831,5
FDN33,6.305,2,0.123115764,95.6436,OUT046,2,0,1,661.8052,16,Food,0.9990697475981462,8
FDN27,20.85,0,0.039624006,117.2808,OUT049,1,0,1,1523.3504,14,Food,0.9517970383470626,9
FDW20,20.75,0,0.040421193,122.173,OUT010,2,2,0,369.519,15,Food,1.5617277461640404,0
DRG27,8.895,0,0.105274111,39.9138,OUT049,1,0,1,690.4346,14,Drinks,0.9267038048585214,9
DRI25,19.6,0,0.033970195,55.1614,OUT045,2,1,1,1381.535,11,Drinks,0.9315179184271947,7
FDA44,19.7,0,0.053212652,57.893,OUT035,2,1,1,622.523,9,Food,0.9294568248579793,6
NCR17,9.8,Non-Edible,0.024378706,114.5492,OUT035,2,1,1,1274.3412,9,Non-Consumable,0.9988808191929445,6
FDU04,7.93,0,0.009714595,120.0414,OUT019,2,0,0,487.3656,28,Food,1.6626731919645865,4
FDF41,12.15,0,0.131383762,246.046,OUT049,1,0,1,1231.73,14,Food,0.8760887632599259,9
FDB56,8.75,2,0.07461309,187.4556,OUT035,2,1,1,3755.112,9,Food,1.0139005933372311,6
NCP18,12.15,Non-Edible,0.028459761,149.9708,OUT027,1,2,3,4363.6532,28,Non-Consumable,0.9178236759482314,5
FDB56,8.75,2,0.074627201,187.8556,OUT046,2,0,1,1314.2892,16,Food,1.0140923445604089,8
FDT28,13.3,0,0.063695084,151.0708,OUT045,2,1,1,1805.6496,11,Food,0.9241603474535889,7
FDD10,20.6,2,0.045797829,178.5344,OUT027,1,2,3,2854.9504,28,Food,0.9285074606550529,5
FDW57,8.31,2,0.115857223,179.1028,OUT049,1,0,1,3896.2616,14,Food,1.0163708730830925,9
DRB48,16.75,2,0.024832806,38.7822,OUT013,0,2,1,667.7974,26,Drinks,0.9322695631328212,1
FDP09,19.75,0,0.034027909,212.0902,OUT018,1,2,2,3185.853,4,Food,0.8782920653990081,3
FDH14,17.1,2,0.0467696,141.1838,OUT013,0,2,1,2247.7408,26,Food,0.8740008565954394,1
FDA47,10.5,2,0.116576702,163.121,OUT013,0,2,1,1794.331,26,Food,0.9242793113988635,1
FDG12,6.635,2,0.0049241153333333,121.3098,OUT045,2,1,1,2530.7058,11,Food,0.8181818181818137,7
DRE60,9.395,0,0.278974075,225.372,OUT019,2,0,0,679.116,28,Drinks,1.6148105888188795,4
DRK49,14.15,0,0.035913805,41.4138,OUT013,0,2,1,812.276,26,Drinks,0.938241400037113,1
FDD03,13.3,0,0.079806266,232.53,OUT046,2,0,1,699.09,16,Food,0.9990697472460142,8
FDS52,8.89,0,0.005505481,102.4016,OUT017,2,1,1,2732.4432,6,Food,0.8796765744587313,2
FDW39,6.69,2,0.064625342,176.937,OUT019,2,0,0,176.437,28,Food,1.7376946555050123,4
FDX34,6.195,0,0.071636937,121.7098,OUT027,1,2,3,4097.3332,28,Food,0.9942317071612333,5
FDV11,9.1,2,0.078393078375,173.2054,OUT045,2,1,1,3151.8972,11,Food,0.888888888888889,7
FDD17,7.5,0,0.032677678,239.0906,OUT049,1,0,1,5942.265,14,Food,0.8727739383621287,9
FDZ16,16.85,2,0.160760054,192.4478,OUT017,2,1,1,4843.695,6,Food,0.8767064446129036,2
FDZ46,7.485,0,0.06911065,109.0228,OUT035,2,1,1,2542.0244,9,Food,0.9988808423019976,6
DRA12,11.6,0,0.041177505,140.3154,OUT017,2,1,1,2552.6772,6,Drinks,0.9643049356473633,2
FDY58,11.65,0,0.040081193,227.0694,OUT018,1,2,2,1141.847,4,Food,0.8782920723575601,3
NCF19,13.0,Non-Edible,0.035307322,47.5034,OUT017,2,1,1,680.4476,6,Non-Consumable,0.8796766231887589,2
DRJ13,12.65,0,0.063017847,159.0578,OUT045,2,1,1,2085.9514,11,Drinks,0.9315179229166382,7
FDB14,20.25,2,0.171938781,92.512,OUT010,2,2,0,186.424,15,Food,1.5717317089480713,0
FDJ38,8.6,2,0.040197932,190.153,OUT035,2,1,1,3036.048,9,Food,0.9241490579427504,6
FDW11,12.6,0,0.049058014,62.7194,OUT017,2,1,1,866.8716,6,Food,0.934890991604278,2
FDL40,17.7,0,0.01161096,95.041,OUT035,2,1,1,868.869,9,Food,0.9603681061035344,6
DRI49,14.15,0,0.183507295,82.4276,OUT046,2,0,1,1137.1864,16,Drinks,0.9990697492376227,8
FDV38,19.25,0,0.102349519,52.7956,OUT017,2,1,1,928.1252,6,Food,0.8796766148142439,2
DRG23,8.88,0,0.086708987,151.7682,OUT013,0,2,1,762.341,26,Drinks,0.9327072147064808,1
NCP30,20.5,Non-Edible,0.032835147,40.2822,OUT045,2,1,1,707.0796,11,Non-Consumable,1.0010958955480702,7
FDY25,12.0,0,0.033809913,180.5976,OUT027,1,2,3,7968.2944,28,Food,1.0101030662789034,5
NCH54,13.5,Non-Edible,0.07266912,160.292,OUT046,2,0,1,1438.128,16,Non-Consumable,0.8626517449642818,8
NCR53,12.15,Non-Edible,0.144338493,224.4404,OUT027,1,2,3,6976.2524,28,Non-Consumable,0.8675537170348699,5
FDS52,8.89,0,0.009163216,101.7016,OUT010,2,2,0,101.2016,15,Food,1.464116661542459,0
FDG02,7.855,0,0.011307038,188.5188,OUT018,1,2,2,952.094,4,Food,0.9260469421766652,3
NCO26,7.235,Non-Edible,0.076855628,116.0492,OUT046,2,0,1,1969.4364,16,Non-Consumable,0.9296326048503732,8
FDH35,18.25,0,0.059956876,165.4526,OUT027,1,2,3,5262.4832,28,Food,0.9287446507090747,5
FDB51,6.92,0,0.038532062,60.5852,OUT045,2,1,1,1314.2892,11,Food,1.001095885421211,7
FDX44,9.3,0,0.043209581,90.8172,OUT017,2,1,1,535.3032,6,Food,0.9275067689403469,2
NCN07,18.5,Non-Edible,0.056816465,132.1284,OUT010,2,2,0,263.6568,15,Non-Consumable,1.4641166640747971,0
NCC31,8.02,Non-Edible,0.019866705,154.5972,OUT035,2,1,1,1402.1748,9,Non-Consumable,0.871200626611771,6
NCX54,9.195,Non-Edible,0.048331717,105.1622,OUT017,2,1,1,1693.7952,6,Non-Consumable,0.9348909809950855,2
NCO55,12.8,Non-Edible,0.091221855,105.5938,OUT045,2,1,1,2143.876,11,Non-Consumable,0.8765027636722214,7
NCC30,16.6,Non-Edible,0.027622076,177.6344,OUT049,1,0,1,2676.516,14,Non-Consumable,0.9310779320436927,9
FDI16,14.0,2,0.1416453382999999,53.064,OUT035,2,1,1,905.488,9,Food,0.9090909090909084,6
FDP16,18.6,0,0.039355947,246.3802,OUT049,1,0,1,7370.406,14,Food,0.9310779430846442,9
FDB11,16.0,0,0.060836524,226.8404,OUT035,2,1,1,6301.1312,9,Food,0.9294568219899721,6
NCB06,17.6,Non-Edible,0.082316506,160.692,OUT035,2,1,1,1597.92,9,Non-Consumable,0.929456818503636,6
FDA45,21.25,0,0.155350299,178.237,OUT035,2,1,1,529.311,9,Food,1.0154208988255191,6
NCO26,7.235,Non-Edible,0.076841095,117.5492,OUT035,2,1,1,1969.4364,9,Non-Consumable,0.9294568161541141,6
DRJ25,14.6,0,0.151419185,50.3692,OUT017,2,1,1,1034.6532,6,Drinks,0.9348909874937066,2
FDR28,13.85,2,0.026001976,161.521,OUT018,1,2,2,1794.331,4,Food,0.9334195337935713,3
FDI04,13.65,2,0.073209447,197.6426,OUT018,1,2,2,2768.3964,4,Food,0.8782920695301611,3
DRK12,9.5,0,0.041683481,31.29,OUT027,1,2,3,898.83,28,Drinks,1.0066596098528127,5
FDX20,7.365,0,0.042560252,226.172,OUT046,2,0,1,3169.208,16,Food,0.9222899096810624,8
NCI18,18.35,Non-Edible,0.014081156,223.5746,OUT018,1,2,2,3589.9936,4,Non-Consumable,1.0031395315671328,3
FDB36,5.465,2,0.030340533875,132.5626,OUT018,1,2,2,262.3252,4,Food,0.7272727272727273,3
FDN13,18.6,0,0.152918384,99.8358,OUT017,2,1,1,1910.1802,6,Food,0.9275067616421127,2
DRD24,13.85,0,0.030969274,140.9154,OUT017,2,1,1,1701.7848,6,Drinks,0.879676606596772,2
FDQ28,14.0,2,0.060376776,154.5656,OUT013,0,2,1,2471.4496,26,Food,0.8710498593152382,1
FDM22,14.0,2,0.04192285,54.764,OUT013,0,2,1,1331.6,26,Food,0.8707097338343368,1
FDR07,21.35,0,0.077367431,97.0094,OUT027,1,2,3,1808.9786,28,Food,0.8704928811879857,5
FDV25,5.905,0,0.045838211,222.5456,OUT018,1,2,2,3315.684,4,Food,0.9288173729669329,3
DRF49,7.27,0,0.071077939,114.2518,OUT046,2,0,1,2618.5914,16,Drinks,0.9222899205805942,8
FDW51,6.155,2,0.094659871,214.556,OUT046,2,0,1,2769.728,16,Food,0.9296326010221123,8
DRL01,19.5,2,0.077608838,233.4958,OUT017,2,1,1,5375.0034,6,Drinks,0.8763641072834327,2
FDP25,15.2,0,0.021327477,216.8824,OUT017,2,1,1,2838.9712,6,Food,0.8796766086282274,2
FDL50,12.15,2,0.042485444,125.0046,OUT018,1,2,2,1743.0644,4,Food,1.0029791841441567,3
NCB30,14.6,Non-Edible,0.025578526,198.8084,OUT027,1,2,3,5555.4352,28,Non-Consumable,0.8588781859041476,5
FDW11,12.6,0,0.0489808,61.9194,OUT018,1,2,2,619.194,4,Food,0.9334195363385648,3
NCM43,14.5,Non-Edible,0.019471688,164.821,OUT035,2,1,1,2120.573,9,Non-Consumable,0.8745633861423517,6
FDK44,16.6,0,0.122918852,173.0738,OUT017,2,1,1,3823.0236,6,Food,0.9300661617477183,2
FDM15,11.8,2,0.057373797,151.4366,OUT013,0,2,1,1360.2294,26,Food,0.9242293566858495,1
FDS31,13.1,2,0.044155597,178.8318,OUT013,0,2,1,3969.4996,26,Food,1.0501883693238891,1
FDI32,17.7,0,0.291865402,115.1834,OUT010,2,2,0,345.5502,15,Food,1.4797657517933827,0
FDR47,17.85,0,0.0853547126,196.5794,OUT010,2,2,0,585.2382,15,Food,0.909090909090909,0
FDB35,12.3,2,0.064750025,92.6804,OUT045,2,1,1,1010.6844,11,Food,0.8765027642551428,7
NCU05,11.8,Non-Edible,0.098312421,81.4618,OUT010,2,2,0,161.1236,15,Non-Consumable,1.556014400369685,0
DRY23,9.395,2,0.191013663,42.1112,OUT019,2,0,0,42.6112,28,Drinks,1.614810591823397,4
FDO24,11.1,0,0.176573035,157.4604,OUT045,2,1,1,3010.7476,11,Food,0.9620429213503378,7
FDQ28,14.0,2,0.060134441,153.0656,OUT027,1,2,3,6024.1584,28,Food,0.8675537159031228,5
FDV39,11.3,0,0.007294652,198.1426,OUT045,2,1,1,988.713,11,Food,1.0136095176709483,7
NCO17,10.0,Non-Edible,0.128478462,117.944,OUT019,2,0,0,239.688,28,Non-Consumable,1.6615813872992904,4
FDU50,5.75,2,0.075107656,112.8176,OUT013,0,2,1,1374.2112,26,Food,1.014538423093149,1
FDT12,6.215,2,0.049381406,226.8062,OUT027,1,2,3,4739.8302,28,Food,0.9344755748620248,5
FDK58,11.35,2,0.045165796,100.0016,OUT018,1,2,2,1012.016,4,Food,0.9529708288112345,3
FDO08,11.1,2,0.09415375,165.7526,OUT019,2,0,0,657.8104,28,Food,1.5263660654326803,4
NCW29,14.0,Non-Edible,0.028907832,130.431,OUT049,1,0,1,778.986,14,Non-Consumable,0.8760887780212524,9
FDE04,19.75,2,0.018059621,179.766,OUT045,2,1,1,2336.958,11,Food,0.9349382553015972,7
NCB19,6.525,Non-Edible,0.090436094,85.0882,OUT049,1,0,1,2233.0932,14,Non-Consumable,0.9237238358273695,9
FDV15,10.3,0,0.146399712,103.9648,OUT049,1,0,1,1661.8368,14,Food,0.9237238319507569,9
FDL58,5.78,2,0.074264356,264.7568,OUT049,1,0,1,4745.8224,14,Food,0.8732632545533564,9
FDA08,11.85,2,0.050186726,164.1526,OUT045,2,1,1,3124.5994,11,Food,0.9266904971470526,7
FDT43,16.35,0,0.020631654,50.1324,OUT018,1,2,2,467.3916,4,Food,0.878292055660215,3
NCX06,17.6,Non-Edible,0.01561108,182.5976,OUT027,1,2,3,5070.7328,28,Non-Consumable,0.8704929095813483,5
FDT20,10.5,0,0.041395445,37.6164,OUT046,2,0,1,540.6296,16,Food,0.9296325980403759,8
FDB41,19.0,2,0.097313129,48.0718,OUT046,2,0,1,992.7078,16,Food,0.8747287957135111,8
NCN55,14.6,Non-Edible,0.059582996,238.8538,OUT049,1,0,1,6008.845,14,Non-Consumable,0.9344762885152381,9
FDE40,15.6,2,0.098663652,62.9194,OUT027,1,2,3,2105.2596,28,Food,0.9207846271350995,5
FDX49,4.615,2,0.101338651,232.63,OUT027,1,2,3,5359.69,28,Food,0.9946778264859067,5
NCM53,18.75,Non-Edible,0.052146456,104.628,OUT045,2,1,1,745.696,11,Non-Consumable,0.93151792990204,7
FDE36,5.26,2,0.041764487,161.8868,OUT035,2,1,1,3275.736,9,Food,0.8708658809596567,6
FDN57,18.25,0,0.054344186,140.2154,OUT045,2,1,1,1701.7848,11,Food,0.924160348572796,7
FDI24,10.3,0,0.078362484,177.937,OUT027,1,2,3,6704.606,28,Food,0.9178236833668946,5
FDI19,15.1,0,0.052339069,242.7512,OUT046,2,0,1,4119.9704,16,Food,0.9265119554752591,8
FDF24,15.5,2,0.042464962,81.5934,OUT010,2,2,0,327.5736,15,Food,1.55601440687785,0
FDG52,13.65,0,0.065732883,45.7402,OUT049,1,0,1,780.9834,14,Food,1.0006230405301118,9
DRF36,16.1,0,0.023625114,189.3846,OUT045,2,1,1,3630.6074,11,Drinks,0.9315179356850789,7
FDS45,5.175,2,0.051643608,107.3622,OUT019,2,0,0,317.5866,28,Food,1.531537193669292,4
FDX40,12.85,0,0.165694219,39.7164,OUT010,2,2,0,231.6984,15,Food,1.4585769501324786,0
DRK12,9.5,0,0.041878397,32.99,OUT035,2,1,1,133.16,9,Drinks,1.0113668478235107,6
DRC27,13.8,0,0.058091482,245.1802,OUT035,2,1,1,5650.6446,9,Drinks,0.8745633898078159,6
FDL58,5.78,2,0.0773112238,263.7568,OUT017,2,1,1,2636.568,6,Food,0.909090909090909,2
NCD30,19.7,Non-Edible,0.026903714,96.0726,OUT045,2,1,1,1272.3438,11,Non-Consumable,0.9344170294145341,7
NCZ54,14.65,Non-Edible,0.0813447597,161.5552,OUT010,2,2,0,324.9104,15,Non-Consumable,0.9090909090909091,0
FDE10,6.67,2,0.150554711,130.0626,OUT010,2,2,0,131.1626,15,Food,1.5620074706004081,0
FDR44,6.11,2,0.0915704155555555,131.2968,OUT010,2,2,0,260.9936,15,Food,0.8999999999999996,0
FDP28,13.65,2,0.134975628,260.0936,OUT010,2,2,0,260.9936,15,Food,1.5560143938388797,0
FDX15,17.2,0,0.15616879,160.6578,OUT013,0,2,1,3690.5294,26,Food,0.9982383500644568,1
FDA39,6.32,0,0.0110409994999999,40.2822,OUT035,2,1,1,1139.1838,9,Food,0.833333333333327,6
FDY24,4.88,2,0.133700752,52.9298,OUT049,1,0,1,1995.4026,14,Food,0.8850525230969177,9
FDC60,5.425,2,0.115119905,88.3514,OUT017,2,1,1,1416.8224,6,Food,0.8796766119655859,2
FDH28,15.85,2,0.110030997,37.2506,OUT046,2,0,1,265.6542,16,Food,0.8710305849920302,8
FDT25,7.5,0,0.051038045,121.7072,OUT017,2,1,1,3552.7088,6,Food,0.8796766155939332,2
DRJ13,12.65,0,0.062837968,161.5578,OUT013,0,2,1,2406.867,26,Drinks,0.9288589854817186,1
NCO07,9.06,Non-Edible,0.017116983,211.956,OUT019,2,0,0,213.056,28,Non-Consumable,1.6148106140981398,4
FDW20,20.75,0,0.024129332,124.173,OUT013,0,2,1,2956.152,26,Food,0.9322695468390518,1
DRF27,8.93,0,0.049754975,152.134,OUT019,2,0,0,153.134,28,Drinks,1.6148105858812485,4
FDS49,9.0,0,0.0772164927777777,79.7644,OUT035,2,1,1,1649.8524,9,Food,0.899999999999999,6
FDX25,16.7,0,0.101561568,181.9292,OUT027,1,2,3,3101.2964,28,Food,1.0607574254827228,5
NCX42,6.36,Non-Edible,0.005949644,165.6526,OUT027,1,2,3,4769.1254,28,Non-Consumable,0.9178237065234705,5
FDG33,5.365,2,0.13956116,170.4764,OUT027,1,2,3,3435.528,28,Food,0.870492878994874,5
FDL56,14.1,0,0.126035694,86.4198,OUT045,2,1,1,1133.8574,11,Food,0.9241603432989565,7
FDF14,7.55,0,0.027164679,152.334,OUT035,2,1,1,2603.278,9,Food,0.9988808467785639,6
NCD06,13.0,Non-Edible,0.099325278,45.406,OUT046,2,0,1,605.878,16,Non-Consumable,0.9222899126493381,8
DRM47,9.3,0,0.04357366,192.8846,OUT027,1,2,3,2293.0152,28,Drinks,0.9251308182990382,5
FDS46,17.6,2,0.082741482,118.7782,OUT019,2,0,0,119.1782,28,Food,1.61481058939147,4
FDB35,12.3,2,0.064565202,92.9804,OUT013,0,2,1,1929.4884,26,Food,0.8740008676088028,1
FDX21,7.05,0,0.084554569,109.8912,OUT027,1,2,3,2074.6328,28,Food,0.870492877257517,5
NCU05,11.8,Non-Edible,0.058451805,79.9618,OUT027,1,2,3,241.6854,28,Non-Consumable,0.9251308164570655,5
NCR38,17.25,Non-Edible,0.113748685,251.3724,OUT045,2,1,1,6795.1548,11,Non-Consumable,0.9241603485949121,7
NCR18,15.85,Non-Edible,0.020603511,42.7112,OUT017,2,1,1,639.168,6,Non-Consumable,1.0047208774941259,2
NCU41,18.85,Non-Edible,0.052044976,192.1846,OUT035,2,1,1,3248.4382,9,Non-Consumable,0.9294568228249105,6
